Timestamp,Mean Blue Intensity
2023/10/04 01:48:46,88.517
2023/10/04 03:30:35,90.237
2023/10/04 05:12:21,88.313
2023/10/04 06:54:09,90.842
2023/10/04 08:35:51,95.87
2023/10/04 10:17:36,88.387
2023/10/04 11:59:21,87.752
2023/10/04 13:41:06,91.98
2023/10/04 15:22:51,87.958
2023/10/04 17:04:39,88.326
